期档,锚倍,当期总成本,当期返点,全挂净损,命中前累计最坏净损,锚命中最小返奖,锚命中最小净收益,覆盖后剩余
1,1,2.80,0.20,2.60,0.00,19.60,17.00,17.00
2,1,2.80,0.20,2.60,2.60,19.60,17.00,14.39
3,1,2.80,0.20,2.60,5.21,19.60,17.00,11.79
4,1,2.80,0.20,2.60,7.81,19.60,17.00,9.18
5,1,2.80,0.20,2.60,10.42,19.60,17.00,6.58
6,1,2.80,0.20,2.60,13.02,19.60,17.00,3.98
7,1,2.80,0.20,2.60,15.62,19.60,17.00,1.37
8,2,4.80,0.34,4.46,18.23,39.20,34.74,16.51
9,2,4.80,0.34,4.46,22.69,39.20,34.74,12.04
10,2,4.80,0.34,4.46,27.16,39.20,34.74,7.58
11,2,4.80,0.34,4.46,31.62,39.20,34.74,3.12
12,3,6.80,0.48,6.32,36.08,58.80,52.48,16.39
13,3,6.80,0.48,6.32,42.41,58.80,52.48,10.07
14,3,6.80,0.48,6.32,48.73,58.80,52.48,3.74
15,4,8.80,0.62,8.18,55.06,78.40,70.22,15.16
16,4,8.80,0.62,8.18,63.24,78.40,70.22,6.98
17,5,10.80,0.76,10.04,71.42,98.00,87.96,16.53
18,5,10.80,0.76,10.04,81.47,98.00,87.96,6.49
19,6,12.80,0.90,11.90,91.51,117.60,105.70,14.18
20,6,12.80,0.90,11.90,103.42,117.60,105.70,2.28
21,7,14.80,1.04,13.76,115.32,137.20,123.44,8.12
22,8,16.80,1.18,15.62,129.08,156.80,141.18,12.09
23,9,18.80,1.32,17.48,144.71,176.40,158.92,14.21
24,10,20.80,1.46,19.34,162.19,196.00,176.66,14.46
25,11,22.80,1.60,21.20,181.54,215.60,194.40,12.86
26,12,24.80,1.74,23.06,202.74,235.20,212.14,9.40
27,13,26.80,1.88,24.92,225.80,254.80,229.88,4.07
28,15,30.80,2.16,28.64,250.73,294.00,265.36,14.63
29,16,32.80,2.30,30.50,279.37,313.60,283.10,3.72
30,18,36.80,2.58,34.22,309.88,352.80,318.58,8.70
31,20,40.80,2.86,37.94,344.10,392.00,354.06,9.96
32,22,44.80,3.14,41.66,382.04,431.20,389.54,7.49
33,24,48.80,3.42,45.38,423.71,470.40,425.02,1.31
34,27,54.80,3.84,50.96,469.09,529.20,478.24,9.14
35,30,60.80,4.26,56.54,520.06,588.00,531.46,11.40
36,33,66.80,4.68,62.12,576.60,646.80,584.68,8.08
37,37,74.80,5.24,69.56,638.72,725.20,655.64,16.91
38,41,82.80,5.80,77.00,708.29,803.60,726.60,18.31
39,45,90.80,6.36,84.44,785.29,882.00,797.56,12.26
40,50,100.80,7.06,93.74,869.74,980.00,886.26,16.52
41,55,110.80,7.76,103.04,963.48,1078.00,974.96,11.48
42,61,122.80,8.60,114.20,1066.52,1195.60,1081.40,14.87
43,67,134.80,9.44,125.36,1180.73,1313.20,1187.84,7.11
44,74,148.80,10.42,138.38,1306.09,1450.40,1312.02,5.92
45,82,164.80,11.54,153.26,1444.48,1607.20,1453.94,9.46
46,91,182.80,12.80,170.00,1597.74,1783.60,1613.60,15.86
47,100,200.80,14.06,186.74,1767.74,1960.00,1773.26,5.51
48,111,222.80,15.60,207.20,1954.49,2175.60,1968.40,13.91
49,122,244.80,17.14,227.66,2161.69,2391.20,2163.54,1.84
50,135,270.80,18.96,251.84,2389.36,2646.00,2394.16,4.80
51,149,298.80,20.92,277.88,2641.20,2920.40,2642.52,1.32
52,165,330.80,23.16,307.64,2919.08,3234.00,2926.36,7.27
53,182,364.80,25.54,339.26,3226.73,3567.20,3227.94,1.21
54,202,404.80,28.34,376.46,3565.99,3959.20,3582.74,16.74
55,223,446.80,31.28,415.52,3942.46,4370.80,3955.28,12.82
