触发序号,上上期个位,上期个位,和值尾数基数,定位3码,未来个位,是否5期内命中,首次命中期,下一期是否命中
202607310183,2,1,3,"2,3,4","6,8,9,3,4",是,4,否
202607310186,8,9,7,"6,7,8","3,4,6,5,7",是,3,否
202607310188,3,4,7,"6,7,8","6,5,7,9,6",是,1,是
202607310190,6,5,1,"0,1,2","7,9,6,0,0",是,4,否
202607310198,2,1,3,"2,3,4","7,5,3,5,8",是,3,否
202607310204,8,7,5,"4,5,6","2,8,3,8,2",否,,否
202607310211,5,4,9,"8,9,0","3,8,5,1,8",是,2,否
202607310212,4,3,7,"6,7,8","8,5,1,8,4",是,1,是
202607310228,6,5,1,"0,1,2","7,5,3,6,6",否,,否
202607310234,6,7,3,"2,3,4","7,7,4,6,6",是,3,否
202607310240,6,7,3,"2,3,4","1,0,2,6,1",是,3,否
202607310242,1,0,1,"0,1,2","2,6,1,1,8",是,1,是
202607310254,1,2,3,"2,3,4","9,6,9,3,7",是,4,否
202607310273,5,4,9,"8,9,0","6,0,2,6,9",是,2,否
202607310283,8,9,7,"6,7,8","8,9,0,4,4",是,1,是
202607310284,9,8,7,"6,7,8","9,0,4,4,0",否,,否
202607310285,8,9,7,"6,7,8","0,4,4,0,1",否,,否
202607310290,0,1,1,"0,1,2","6,9,5,0,4",是,4,否
202607310302,8,7,5,"4,5,6","4,5,5,1,0",是,1,是
202607310304,4,5,9,"8,9,0","5,1,0,1,0",是,3,否
202607310307,1,0,1,"0,1,2","1,0,5,7,9",是,1,是
202607310308,0,1,1,"0,1,2","0,5,7,9,8",是,1,是
202607310309,1,0,1,"0,1,2","5,7,9,8,7",否,,否
202607310313,9,8,7,"6,7,8","7,3,3,4,0",是,1,是
202607310314,8,7,5,"4,5,6","3,3,4,0,5",是,3,否
202607310317,3,4,7,"6,7,8","0,5,8,3,2",是,3,否
202607310322,3,2,5,"4,5,6","1,4,5,6,3",是,2,否
202607310323,2,1,3,"2,3,4","4,5,6,3,4",是,1,是
202607310325,4,5,9,"8,9,0","6,3,4,1,4",否,,否
202607310326,5,6,1,"0,1,2","3,4,1,4,5",是,3,否
202607310328,3,4,7,"6,7,8","1,4,5,9,4",否,,否
202607310331,4,5,9,"8,9,0","9,4,9,6,6",是,1,是
202607310337,6,5,1,"0,1,2","9,9,3,3,5",否,,否
202607310343,5,4,9,"8,9,0","5,8,0,2,8",是,2,否
202607310344,4,5,9,"8,9,0","8,0,2,8,6",是,1,是
202607310355,8,9,7,"6,7,8","8,8,4,8,6",是,1,是
202607310356,9,8,7,"6,7,8","8,4,8,6,3",是,1,是
202607310363,7,6,3,"2,3,4","4,1,1,3,7",是,1,是
